R1	R2	ID	PU	LB	SM
4545949_BC10.fastq.gz	NA	4545949_BC10	4545949_BC10	2115760	2115760
4540024_BC264.fastq.gz	NA	4540024_BC264	4540024_BC264	2115760	2115760
4554782_BC28.fastq.gz	NA	4554782_BC28	4554782_BC28	2115760	2115760
CL100102281_L02_533_1.fq.gz	CL100102281_L02_533_2.fq.gz	CL100102281_L02_533	CL100102281_L2	PL1812070127-533	56001801068814A
CL100102281_L02_534_1.fq.gz	CL100102281_L02_534_2.fq.gz	CL100102281_L02_534	CL100102281_L2	PL1812070127-534	56001801068814A
CL100102281_L02_535_1.fq.gz	CL100102281_L02_535_2.fq.gz	CL100102281_L02_535	CL100102281_L2	PL1812070127-535	56001801068814A
CL100102281_L02_536_1.fq.gz	CL100102281_L02_536_2.fq.gz	CL100102281_L02_536	CL100102281_L2	PL1812070127-536	56001801068814A
CL100102281_L02_537_1.fq.gz	CL100102281_L02_537_2.fq.gz	CL100102281_L02_537	CL100102281_L2	PL1812070127-537	56001801068814A
CL100102281_L02_538_1.fq.gz	CL100102281_L02_538_2.fq.gz	CL100102281_L02_538	CL100102281_L2	PL1812070127-538	56001801068814A
CL100102281_L02_539_1.fq.gz	CL100102281_L02_539_2.fq.gz	CL100102281_L02_539	CL100102281_L2	PL1812070127-539	56001801068814A
CL100102281_L02_540_1.fq.gz	CL100102281_L02_540_2.fq.gz	CL100102281_L02_540	CL100102281_L2	PL1812070127-540	56001801068814A
CL100102279_L01_589_1.fq.gz	CL100102279_L01_589_2.fq.gz	CL100102279_L01_589	CL100102279_L1	PL1812070122-589	56001801068754A
CL100102279_L01_590_1.fq.gz	CL100102279_L01_590_2.fq.gz	CL100102279_L01_590	CL100102279_L1	PL1812070122-590	56001801068754A
CL100102279_L01_591_1.fq.gz	CL100102279_L01_591_2.fq.gz	CL100102279_L01_591	CL100102279_L1	PL1812070122-591	56001801068754A
CL100102279_L01_592_1.fq.gz	CL100102279_L01_592_2.fq.gz	CL100102279_L01_592	CL100102279_L1	PL1812070122-592	56001801068754A
CL100102279_L01_593_1.fq.gz	CL100102279_L01_593_2.fq.gz	CL100102279_L01_593	CL100102279_L1	PL1812070122-593	56001801068754A
CL100102279_L01_594_1.fq.gz	CL100102279_L01_594_2.fq.gz	CL100102279_L01_594	CL100102279_L1	PL1812070122-594	56001801068754A
CL100102279_L01_595_1.fq.gz	CL100102279_L01_595_2.fq.gz	CL100102279_L01_595	CL100102279_L1	PL1812070122-595	56001801068754A
CL100102279_L01_596_1.fq.gz	CL100102279_L01_596_2.fq.gz	CL100102279_L01_596	CL100102279_L1	PL1812070122-596	56001801068754A
20181202_S1_L001_R1_001.fastq.gz	20181202_S1_L001_R2_001.fastq.gz	20181202_S1_L001	20181202_L1	20181127	20181127
20181202_S1_L002_R1_001.fastq.gz	20181202_S1_L002_R2_001.fastq.gz	20181202_S1_L002	20181202_L2	20181127	20181127
20181202_S1_L003_R1_001.fastq.gz	20181202_S1_L003_R2_001.fastq.gz	20181202_S1_L003	20181202_L3	20181127	20181127
20181202_S1_L004_R1_001.fastq.gz	20181202_S1_L004_R2_001.fastq.gz	20181202_S1_L004	20181202_L4	20181127	20181127
